UniID,Institution_Name,City,Year,Student_to_faculty_ratio,Full_Time_Staff_per_Student,Average_salary_of_full_time_professors,Percent_of_undergraduate_enrollment_Age_18_to_24,Percent_of_full_time_first_time_undergraduates_awarded_any_financial_aid,Total_price_for_in_state_students_living_on_campus ,Percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses,Percent_admitted ,Published_in_state_tuition_and_fees,Books_and_supplies,Undergraduate_application_fee,SAT_Math_50th_percentile_score,SAT_Reading_and_Writing_50th_percentile_score,Full_time_retention_rate
226152,Texas A & M International University,Laredo,20-21,24,0.0832,107838,74.57,98,20921,6,59,7683,1270,0,495,515,74
228723,Texas A & M University-College Station,College Station,20-21,19,0.1523,153625,97,78,31467,0,63,12783,1222,75,640,630,94
224554,Texas A & M University-Commerce,Commerce,20-21,21,0.0834,91935,65,93,23976,38,60,9820,1176,0,522.5,530,58
224147,Texas A & M University-Corpus Christi,Corpus Christi,20-21,20,0.1238,104010,83,67,25046,18,90,9553,1104,40,540,550,57
229063,Texas Southern University,Houston,20-21,14,0.1718,97932,74.57,96,25044,12,66,9173,1646,42,480,485,51
228459,Texas State University,San Marcos,20-21,22,0.0957,105529,87,80,25935,23,85,10855,760,75,540,555,77
229115,Texas Tech University,Lubbock,20-21,21,0.1262,133427,90,84,27156,6,70,11600,1200,75,575,580,87
229179,Texas Woman's University,Denton,20-21,19,0.0876,104136,63,93,22086,39,94,8255,1050,50,537,554.5,77
228769,The University of Texas at Arlington,Arlington,20-21,24,0.0725,142997,58,91,27754,30,88,11378,1206,75,580,570,76
228778,The University of Texas at Austin,Austin,20-21,17,0.2941,180675,96,71,28928,54,32,11448,714,75,675,665,97
228787,The University of Texas at Dallas,Richardson,20-21,25,0.1233,168178,87,74,30744,0,79,13992,1200,50,680,655,90
228796,The University of Texas at El Paso,El Paso,20-21,21,0.1051,121458,77,86,23960,90,100,9450,1632,0,536.17,543.96,77
229027,The University of Texas at San Antonio,San Antonio,20-21,27,0.0956,130323,82,89,20878,84,84,8566,1000,70,555,560,78
228802,The University of Texas at Tyler,Tyler,20-21,19,0.1120,100593,69,84,22756,23,92,9146,1292,60,555,570,64
229018,The University of Texas Permian Basin,Odessa,20-21,17,0.1304,95118,53,96,19645,45,88,4837,1000,40,500,515,65
227368,The University of Texas Rio Grande Valley,Edinburg,20-21,21,0.1235,97237,74.57,98,21709,71,82,8917,1240,0,462.5,525,81
225511,University of Houston,Houston,20-21,23,0.1116,158691,80,85,24631,92,63,9457,1360,75,610,605,86
225414,University of Houston-Clear Lake,Houston,20-21,17,0.0893,103970,57,76,28655,53,81,7504,1316,45,540,545,77
225432,University of Houston-Downtown,Houston,20-21,20,0.0732,99049,54,92,24066.17,84,93,7222,1289,50,536.17,543.96,67
225502,University of Houston-Victoria,Victoria,20-21,20,0.0880,106135,74.57,91,21831,80,67,7313,1158,25,536.17,543.96,66
227216,University of North Texas,Denton,20-21,26,0.0917,127056,83,88,25386,9,84,11090,1000,75,565,580,85
484905,University of North Texas at Dallas,Dallas,20-21,17,0.1035,90599,74.57,99,22679,14,93,8143,1500,40,455,395,71
229814,West Texas A & M University,Canyon,20-21,15,0.0855,90864,77,95,21806,26,58,8456,1000,55,515,510,82
222831,Angelo State University,San Angelo,19-20,20,0.0803,85862,62,92,21247,3,77,7637,1200,40,505,520,69
226091,Lamar University,Beaumont,19-20,18,0.0904,104388,69,85,23000,26,84,8494,1012,25,515,535,66
226833,Midwestern State University,Wichita Falls,19-20,17,0.1161,94211,74,97,21911,16,79,9601,1050,40,505,520,67
227526,Prairie View A & M University,Prairie View,19-20,18,0.1348,104896,92,97,25408,1,80,10786,1340,40,475,480,66
227881,Sam Houston State University,Huntsville,19-20,21,0.1050,101732,84,88,23326,11,83,8536,1372,45,525,540,75
228431,Stephen F Austin State University,Nacogdoches,19-20,18,0.1189,89422,80,86,22732,9,68,8844,1202,45,535,550,70
228501,Sul Ross State University,Alpine,19-20,12,0.1667,74133,70,94,23972,10,100,8806,1270,25,536.17,543.96,52
228529,Tarleton State University,Stephenville,19-20,22,0.0874,96232,79,92,22730,15,56,7851,1020,50,515,530,65
226152,Texas A & M International University,Laredo,19-20,24,0.0844,104377,78,98,18994,4,54,7348,1180,0,495,510,79
228723,Texas A & M University-College Station,College Station,19-20,20,0.1558,154112,97,81,30083,0,58,12153,1222,75,645,630,93
224554,Texas A & M University-Commerce,Commerce,19-20,20,0.0842,94585,61,91,23191,20,43,8958,1317,0,520,530,63
224147,Texas A & M University-Corpus Christi,Corpus Christi,19-20,18,0.1173,102720,82,71,24469,4,80,9272,1080,40,555,550,60
229063,Texas Southern University,Houston,19-20,16,0.1385,99055,79,97,25343,4,91,9173,1640,42,455,465,53
228459,Texas State University,San Marcos,19-20,21,0.1049,107059,89,80,23791,2,81,10581,800,75,540,555,76
229115,Texas Tech University,Lubbock,19-20,20,0.1298,135092,89,86,23590,6,69,9300,1200,75,580,585,87
229179,Texas Woman's University,Denton,19-20,17,0.0940,104200,65,95,21032,15,93,7926,1050,50,510,530,73
228769,The University of Texas at Arlington,Arlington,19-20,24,0.0734,137115,56,90,27280,32,83,11040,1206,75,575,570,75
228778,The University of Texas at Austin,Austin,19-20,19,0.2925,175744,96,66,27728,0,32,10824,700,75,685,670,96
228787,The University of Texas at Dallas,Richardson,19-20,25,0.1230,166391,86,82,29964,0,79,13442,1200,50,690,660,89
228796,The University of Texas at El Paso,El Paso,19-20,20,0.1035,120588,77,88,24521,5,100,9161,1632,0,536.17,543.96,75
229027,The University of Texas at San Antonio,San Antonio,19-20,25,0.1098,131309,83,87,20010,3,77,8262,1000,70,555,570,73
228802,The University of Texas at Tyler,Tyler,19-20,18,0.1119,100448,68,80,22316,12,83,8742,1292,60,570,585,71
229018,The University of Texas Permian Basin,Odessa,19-20,19,0.1291,105990,53,95,21142,42,88,6666,1000,40,520,516.5,63
227368,The University of Texas Rio Grande Valley,Edinburg,19-20,20,0.1287,78509,81,95,20946,5,80,8132,1238,0,510,530,76
225511,University of Houston,Houston,19-20,23,0.1170,157979,80,94,23979,3,65,9221,1338,75,615,610,85
225414,University of Houston-Clear Lake,Houston,19-20,17,0.0943,104806,55,67,26986,9,74,7310,1064,45,550,555,80
225432,University of Houston-Downtown,Houston,19-20,19,0.0757,99053,53,91,24066.17,20,89,6788,1268,50,500,500,73
225502,University of Houston-Victoria,Victoria,19-20,18,0.0972,104617,51,95,19846,48,56,6781,1158,25,495,514,61
227216,University of North Texas,Denton,19-20,26,0.1009,122961,84,85,25012,5,74,11044,1000,75,570,585,79
484905,University of North Texas at Dallas,Dallas,19-20,17,0.0941,94286,56,95,23375,13,47,9140,1500,40,420,420,70
229814,West Texas A & M University,Canyon,19-20,18,0.0852,89061,78,84,21485,18,69,8135,1000,55,515,525,68
222831,Angelo State University,San Angelo,18-19,20,0.0832,82118,64,94,21046,3,73,7436,1200,40,505,510,67
